index,source_pdf,page,rendered_png,width,height,png_sha256,jpeg_bytes,jpeg_sampling,jpeg_sha256
13,1016310.pdf,1,0013_1016310_p0001.png,1224,1584,82330c72ddbafc62eec9b4fdfc67c7ee58821459d9e72d763274281039c41fa6,190057,4:4:4,410d7025427d37b36417eac04c0477ed2ee91837069dffdce2e6fb78e001add1
14,1016445.pdf,1,0014_1016445_p0001.png,1191,1684,655f499bc9975e92b05e9eee4c475a7861d33a447c190b231e44d01d509202dc,812476,4:4:4,c74125440debfe99baa36affe8b1047ca0ba810fb58315c51c358fecc6fe5436
15,1020897.pdf,1,0015_1020897_p0001.png,1440,810,833a9723224fdf97829d2018131f6a5b3632ff1c600ed776146630434679dd8b,379348,4:4:4,a3a9551bbd7c209adedc42d0fb09b305b9f9e97de463c41a02fa86d0e9f21108
16,1022031.pdf,1,0016_1022031_p0001.png,1275,1768,4d97c8acfdb82fae8b358ab0c819221fa19b16f839c44ec0dd228e60f9d1694a,508056,4:4:4,451d380cccd8658f921c14ec75d31eca675d23232e77d691dde447f87824e054
17,1022784.pdf,1,0017_1022784_p0001.png,1191,1684,6c6b809dac8b1348f1135b025f0f6c73c07268137d4783e505a7c532a1724c98,765487,4:4:4,369995f8dfd6c086a7c72e16e6488ea9cbfdc1e963d80917b8089dbd8c98a2c7
18,1024757.pdf,1,0018_1024757_p0001.png,1191,1684,f8d87fb410031a3b6170b72095bcb7228262ace4d593e992d7f586fffbf8438c,1237542,4:4:4,54f7475a5a1aa54bce53d63128d96d6dcba7f18c4755c45628963f766aa0a056
19,1026220.pdf,1,0019_1026220_p0001.png,1191,1684,cbd2c44115d2fa12bc6438345153600fc0b43708bd9e735a78ea8382e2b6d18d,624543,4:4:4,c46e60b32bf7cee01ce689b03f21b7423df50e579888a1ecf56bb9fa8a98c613
20,1026724.pdf,1,0020_1026724_p0001.png,1224,1584,3da394c07cf0db9eac844f5a7197d68f8dc577eb8059b701dc2ad64984f1a537,296695,4:4:4,f037490fff0b08de25f785aece359c57a5c62ee337d67ec9840bc01125a91623
21,1029321.pdf,1,0021_1029321_p0001.png,1191,1684,a121734b64842cacccffec151380a13712b62dd2451ea4faf5700b7e511d17b6,737311,4:4:4,0ef189d877795d4be810b90483bd14827604de56dfff97af4ddce284231ee1da
22,1031852.pdf,1,0022_1031852_p0001.png,1224,1584,a810e5af1afd82c01b4bbaf677116afc331adf791cd60bfa40997bfa20e6a496,345667,4:4:4,88449f7f0e1ce6e1714639f5b960c96c301329663eb85a21c9afc050cf76590c
23,1032966.pdf,1,0023_1032966_p0001.png,1224,1584,7f82b02e5253086dfca26b1246aac4ba625f3da007220cc98e26295ffbe10d81,409675,4:4:4,48859a0f278f4b1ab444c76e6793c1142d8444504b5be662da49ce24b2568d62
24,1033871.pdf,1,0024_1033871_p0001.png,1440,810,1ae82d163cf3781b029b66a9c08208573dc4a9910391a51939ed18ac4c07180b,909084,4:4:4,307cc068174384d36bb4dc4a9b6bf5f6290a66bfdfa3fafe8460da2631c24611
25,1034633.pdf,1,0025_1034633_p0001.png,1191,1684,22f3d5bb7203fb3ff6e323209c7aecb4a271b1d0dfde9b9b2a57a3155fb31f8c,517703,4:4:4,2971b86af92497ea2d37df04a5271e38a8c5cdc0cb26942f1085101a5ade931d
26,1035714.pdf,1,0026_1035714_p0001.png,1224,1584,6c7a5dfe95f6dfe60859a3f0f5bd3f5b9c5a872b9873ce795fda3151ef1a6b4e,879048,4:4:4,6c0be6f3a79148e4eab5c344d6882ba9adb5688da40243719f181638e72a3379
27,1037700.pdf,1,0027_1037700_p0001.png,1584,1224,b2b105209adf4081e8b2933b59d3534e26f456f931ad5e6d894e385434db12b2,201522,4:4:4,8b9ae7a3ae071b60d07110e51420508d2dc34e596c17f8015072da76daf97e82
28,1038218.pdf,1,0028_1038218_p0001.png,1224,1584,de37cc0c315ab7edfe4cf64adf10186a9de33283610a0797e6eee583d5c1242a,788877,4:4:4,f404a9a4a9ed8caadaf9bd6dd68dd622880cbd7b39fa502a7561db4d7e6e534d
29,1038973.pdf,1,0029_1038973_p0001.png,1224,1584,9f22cd3440424c599e749265321ce2377aa86e98c1216ccd57147ca14d27ec90,634430,4:4:4,dfeee33e9d47d28d5189269f7730db32fc20812e5e0f9780ad06cca1ed5498f0
30,1039340.pdf,1,0030_1039340_p0001.png,1192,1686,db497d3cc11f25fcca44070036af9551255f9faf7be158bc7ce021a3128df2b4,838304,4:4:4,ce1051639b877ce34d59e55ff6498c12c5084257ea568d64036bf3dcdba4061e
31,1043219.pdf,1,0031_1043219_p0001.png,1224,1584,11ac2b261df8db391c9a73c36099ad776685f9e24f69f7a4b4bfef679b5d074b,452850,4:4:4,f87f46bf0ec2e9971be53312c9ec19961c06176c15d4c8bde5c3abffe9114491
32,1045058.pdf,1,0032_1045058_p0001.png,1224,1584,eae0faf116922196b18c1a7bfd3bda5c5b27c4d7cb04e80f3ce7222b8265cb95,600246,4:4:4,1697ac7090d3e7059bb9ddcf8996ba8ed1f1ff62fdb6aac7ba98ad9f3af16c84
33,1048308.pdf,1,0033_1048308_p0001.png,1584,1224,2bed9bf961c4a648de9154a2416ff2be2a9bf50e9c6e4a3d72b290b45c38e46a,430603,4:4:4,8420127e11be5cfa683890cd53c1ae2bbd26b02778dbb70de493b1aac2a41ebc
34,1049627.pdf,1,0034_1049627_p0001.png,1188,1584,a3d1e863aafa8d9f00e8bf67964daf30935f9655f43e330acbe3f2343fc12bbf,757585,4:4:4,5084401e8097b6ddfba1f67573773b05ea3c5481581d9cf8b7087a5144aff89a
35,1050851.pdf,1,0035_1050851_p0001.png,1191,1685,18ed2265bb382c3b980ddc62a706f0f63d6945e97a3ba7fba2cb0b4b99a219a5,550791,4:4:4,4376ad70ffa408a9a80da303571a4751a280fe0417d73f06bb1e98befc5b5272
36,1052261.pdf,1,0036_1052261_p0001.png,1224,1584,ad28fb40e8f834c46ba01e13e8fcdec45d0723ca26c4659eb4877d7d7ba68558,977279,4:4:4,9df9dfc1f72ef50d383575555af13256ca0f721c2c89361561d9beede974d988
37,1054125.pdf,1,0037_1054125_p0001.png,1224,1584,319b044df3b034cfaec96cd3c37993f79fa391a125f17c24fc4f287b63a97239,238857,4:4:4,671a7e6427b7e0824cc5018f081eb4d2e084258ef6b727573b11684aa85722d1
38,1057014.pdf,1,0038_1057014_p0001.png,1224,1584,c97fea923a318d6334e11bb07e608d841e6494206e3f7752debb03e3d389bdae,187138,4:4:4,9b5e37d84ed38747cf6e579c57da2923503cb63eb53efdc13406a9b7cdd76bcb
39,1057021.pdf,1,0039_1057021_p0001.png,1224,1584,7e8d4b0f9e4ccd4e43d3057fe40d03a2db96a248bcdc79e1e56be5b14f320263,519795,4:4:4,7a0f21d6da5f485406e1f5819d3de702e84a32777db799fc6c32c44650c3e6a2
40,1057315.pdf,1,0040_1057315_p0001.png,1225,1584,bfecdcc8fa99849b25bd94cf1f453dbce40382637259cc3e09275e442bfa4ee6,99349,4:4:4,64a89dcf27d13f2a3d021a4b26d5f650574be746efb70521dfbd3c5d4ae66c04
41,1058910.pdf,1,0041_1058910_p0001.png,1167,1599,314962fd2ff3c011424b8f68494aec5a099f4bed03f81b348fe3eb219fb41156,572747,4:4:4,72b8e93497a7f0fb93b9d3a62b5d831bcf9f08b20cb73a030525890142bd5f60
42,1061225.pdf,1,0042_1061225_p0001.png,1684,1192,0b68884e5d828fbca0269e05bd34e935c101bf70d47e3e325828245446993a44,151263,4:4:4,ae8922afc2e725d7666311feed51ad2547a43f037f20f17ea7fd967f72ea3f34
43,1061513.pdf,1,0043_1061513_p0001.png,3840,2160,5a3c5dec6da83607dede908842f243c2a9e0dbcdf74f6e9beb38293cb50fc0e1,2361096,4:4:4,ed249d60b9c64e4645201f4a27828bd6295888f98fa060703cf3e37ef279afb2
44,1061589.pdf,1,0044_1061589_p0001.png,1224,1584,f235a85c589225f9e47b891289f436d6140d321024101dc1dcb315ed2b77acaa,500626,4:4:4,dc1bcf2379f3fa1e7bac5328786ebcc64c7274f402fcddc2b1a6fa0728c6bbe0
45,1061646.pdf,1,0045_1061646_p0001.png,1224,1584,004711c05e9dab2466389ef98205b3f9aaeeab018e3e4eb15136389281b9920a,531734,4:4:4,422634f94ae89aef1f8b99959cc457599196d6e3c2192afb0fdc7ce344681bae
46,1063569.pdf,1,0046_1063569_p0001.png,1440,810,9b79688f4572d58de03c2f0e87ddf5bcfbc78c4244d9374bb92e2039a06c81b8,678749,4:4:4,092ee5f7b7680dcc54a0bfcccceb6e11bf7547ea11862ba3371d31feb633fc31
47,1064120.pdf,1,0047_1064120_p0001.png,1440,1080,2a9633fcc8c5bffb00ad1159bc7dab614b9b4cb1d4fe018afb12ed223c3577ed,498579,4:4:4,25fb38930ac74ba83ceb68b59aefd8c71b04fc17f1b92f67dd4625b842dc1f04
48,1064608.pdf,1,0048_1064608_p0001.png,568,864,9ae3af422e4b8fa9e9847dd18083b9f65e2f4ce3ad37208f2a4668fdfbc62551,512834,4:4:4,2e77e99b957c7f17d2d90d94fe0d0cdc16d61f1ab7532bc871d07a2790da7b64
49,1066320.pdf,1,0049_1066320_p0001.png,1224,1584,43987eda4e06d1e8f5370f398e536e5ec9c035648ce6c9f308d449905e46bd91,312830,4:4:4,2e95be06755b26c05327da99fa23099646384849ddbf98ec520f9a833b1efcb5
50,1067421.pdf,1,0050_1067421_p0001.png,1224,1584,defd45df3133f2355590d829bdf5fc79d4df318628a0a6a763d0352ce3467b58,1332865,4:4:4,c0f99bef4509de9256d505d51bf73e41d26a5bc8b8f285df799c15663ab05efe
51,1067588.pdf,1,0051_1067588_p0001.png,1224,1584,a5f05efcfd19b3996af3080c0f3d59d1f01cc0ef54e9127eefa8f8e2eb8dc625,393869,4:4:4,c89229fd05d5de3e89a622f13fd275c215da23d182d34bb239d4fdb2bc2e6f0d
52,1067785.pdf,1,0052_1067785_p0001.png,1440,1080,7b54cb1abc3a77345da625431864b61c954a2ad08a8ac8dbf5ac6bd353e49bda,972502,4:4:4,a4a7b65e3c18702963fa99377903d6d86891a1187d0428ba14fe7b5c9367ce70
53,1067991.pdf,1,0053_1067991_p0001.png,1224,1584,0e7083a1f80056b1ef0e392d06c5e7d40f3a87aa146dcbce4c7e50558004ca97,317521,4:4:4,cd2410305c6ce7f4380a18cdc7cc84d7f3828528a6fd5af99bddaecbec81f01b
54,1068798.pdf,1,0054_1068798_p0001.png,1224,2016,55d226e37d3d8bcf0dbbf146e6053517e08bd023f62ade251498a44d5845779a,636990,4:4:4,0e25470569d0fb523a065b0d1230bab8b937de8717452698adb8deae53c0abf0
55,1071056.pdf,1,0055_1071056_p0001.png,1224,1584,37cbd2966c0104bdf8f2f52451f8bc97e16fc9fad1a68483e3ae79208b1f67d1,410372,4:4:4,d0b26b33833123ffca5ab3b64eb94009aefe6aaf900022524a810d5ed5302636
56,1071884.pdf,1,0056_1071884_p0001.png,1196,1685,90b3d95c26038a2ea235b41c760ff09619879f4f66324d86cbc35999e17ccef7,491359,4:4:4,03615022a7414c2f3797efd7f1509b0a82ec13c52b13f4ec742a95c947566ae8
57,1072248.pdf,1,0057_1072248_p0001.png,1224,1584,fa05f081de5c8d5baab17262399cba5907c37189bcf16baa71ba9ddea223cddc,180411,4:4:4,4071032f737e4709f33570ae8b7f57d0b59434c33404dbdbb9e55cf5ee9091a9
58,1072273.pdf,1,0058_1072273_p0001.png,1224,1584,747e9dc3128a7982b11ea9dcd17af65652d3748ebd24b5e7dd8a087911adfaa3,708053,4:4:4,077141a966a90c35331e0950cf61404818bc8dd89c14b91cf4b733ee172fa8e6
59,1073013.pdf,1,0059_1073013_p0001.png,1224,1584,b6412386bfe059b87bc44e6459545c924defd033bbe6b70b2a14fb438f78ed7b,234775,4:4:4,d350006c88a58ab85da5b69febccd2f223ed013920c6e01faab8865bec40a12d
60,1074030.pdf,1,0060_1074030_p0001.png,1224,1584,00114b691c664eb27859c7156c2e35d7321fe3b115f74de4a0533913311ef36d,244949,4:4:4,c7f79154e71a2b610d553d413653a03de3dd9f23723bff28b82e883d91c360c5
61,1075664.pdf,1,0061_1075664_p0001.png,1190,1685,ba381249dd6d92c193df684b421b2b279eac4c60e6a94a6da8692cc55d639d37,1166386,4:4:4,0c5696dd72ef527d3bfa457ae4b5f2f03aaa41bcdc9aa191526429e011db4d87
62,1077654.pdf,1,0062_1077654_p0001.png,1224,1584,f987b68d08fb27c9c4aeef8e03f17f2e71ee6933a681de4bc0a8edc40a87687f,114261,4:4:4,4e65a5545f00c0a15e26ead79fa22edf7113101cbbc53b11bd52b5d232507720
63,1077956.pdf,1,0063_1077956_p0001.png,1224,1584,0b0324974ea555ecf0b6a648a057e169282c4c93b4e8e76033073ea67db56853,600063,4:4:4,0a07c9858e09ababc68b04e186ed3585fc8b6229612115c1333f949d904f37c8
64,1078032.pdf,1,0064_1078032_p0001.png,1190,1684,4c58e48087d6631e368a5876ae0fbd70cd4544fb69cab832eb8e897192f3d241,1069515,4:4:4,4f0a15178142a8474a21bbaa9bc29d3e46bb115a18457e7402755f76c63cb6e4
65,1078946.pdf,1,0065_1078946_p0001.png,1191,1684,49319887f21eca9ea0d3c369acef6502aab1009b7954179abb8a54e2369ef098,425707,4:4:4,81a1301c57a21500da208fe2b7eb6754d75d76c4b58e743f427c5d724073cfdb
66,1084420.pdf,1,0066_1084420_p0001.png,1224,1584,3d816c7646ab1729bf35427c2da0de82119cf35e55396609e2cb3e7096c1c63c,267461,4:4:4,e222fd2534e9e74073fc130b2fd638db46d5307aa1c2a71f477175ef67c5fe6c
67,1085940.pdf,1,0067_1085940_p0001.png,1224,1584,6829325775bbde46968cba23aedfc4a8ab4a9869ae723ba3690b2fdfe15fcb76,380448,4:4:4,9ccaf3e8e6305453bdcbb0c5bbe7f960c1d04f52ea9235ac52c8d56f6e91974f
68,1086222.pdf,1,0068_1086222_p0001.png,1224,1584,f1e8766b8fe9763b39d59fe98c7f96a5b095fe52ed79e62607cdf65470b4bea6,316047,4:4:4,7855ad31b66e72fdc46b89254bc3987c6360f4e9205fefcbcebd298ab2c9aaee
69,1086404.pdf,1,0069_1086404_p0001.png,1190,1684,10234315f916521f1cd26e2cfd92733ba8d92c697ab089859423e829e1f3bcec,183328,4:4:4,0c5fe754fa8d82c0b30e31945bd148e7da730074df66b1da452ac512b1898607
70,1086864.pdf,1,0070_1086864_p0001.png,1224,1584,b682ec6d257db50b8167450bc222c51caf3762e7a2ada9a27dfd0a12d12ef238,126029,4:4:4,31cd39f26a52be7e08a59247879b78faa0eeba1b65a9df8d97c9bc7860ea26c9
71,1088696.pdf,1,0071_1088696_p0001.png,1224,1584,e1b126235af2617a7113faad9176fc052d8e1b69965576df5ac5094e74c628ab,657451,4:4:4,90eae3e32359e685f01fa90f56014312a0c9ecc2a39086bfa7a561c160ff1958
72,1092414.pdf,1,0072_1092414_p0001.png,1224,1584,60cef09b766756e72f9b0861d4617a3dd1fb98ac88b81a9be635f4085acad959,904754,4:4:4,b9eb427b4bba4bdd7dbadf4135660e9e146ac09dbc5a2a72c0554d56f0f5903f
73,1094494.pdf,1,0073_1094494_p0001.png,1229,1581,805f8b917af3dff85cf7d462bcf5d5de97b4e2aadcec756f1f438de35786b7a5,1739327,4:4:4,5bea85f12212cb83125c5c00e0dcf785a4e4be6f23bfc566d0459b9f339506f0
74,1094619.pdf,1,0074_1094619_p0001.png,1224,1584,4dcfecd14ae378f655e350458712d5f8f9525a1becad627e9482cf5a5c81a2c6,93518,4:4:4,2ef8d8e2b9e4d918ee5fe589885aea985bffcc583c7afc1d40bcd3a93d512070
75,1096078.pdf,1,0075_1096078_p0001.png,1191,1684,e0cc2ceae9c94c61195a7f627e700007d121f6796fc096383320214eef9546fc,138383,4:4:4,6e2b510ec2eb674a6cb97fae346894bc4839ba0b78a612f5a314249d354b71b7
76,1096626.pdf,1,0076_1096626_p0001.png,1191,1684,a6d15f36969c6b8bdea12468cc45a2264b3f4c0b8f2159a1aff4f545253887ed,1519084,4:4:4,7c8481277ead203aff40bd01ac5ddd32f12de9780bc91d6319acb77654014c48
77,1098458.pdf,1,0077_1098458_p0001.png,1224,1584,e29b550e3fafab4dc6e143f8912f3401b576a2c0cb87d7f203953708965b1486,708356,4:4:4,cc4dfaffc1992abae1687bc9e129779d011351144fc9dd6fa1f9a2a4d4216f4e
78,1099125.pdf,1,0078_1099125_p0001.png,1224,1584,f81c246b9bee36c38ae19e2c41b4a9879cfa48125300cc674c460d229a611d32,390764,4:4:4,029d1634ca0f1b32971ea6f68512569fb2ab2ed74f46ed1bab5d172b4f8f588c
79,1102242.pdf,1,0079_1102242_p0001.png,1224,1584,7d50a06a30eeeef43d065c1057fcf513108c8b45bcba579e37675579a2af5e4c,254179,4:4:4,fab259c32fa4b03cac3f3db400a7eeffe83a6e8639c93546c592c9e50883b60b
80,1102324.pdf,1,0080_1102324_p0001.png,1224,1584,35d44a0fef00cb43d2671db8de91b93264db3a66d901d7ecadc9f9ce448a6edd,551888,4:4:4,307597229ae097e9a65a64731640db8afa2d86664ef3ef23161728003e871a0c
81,1102434.pdf,1,0081_1102434_p0001.png,1224,1584,332bfb16e4c6b557891dbfcd40a1b6d50dfe7b381a883698efd98792d22de60e,724671,4:4:4,507002bf96f381886250119e4ace37219d1a55aefa4b667fa6ab6f02333c97be
82,1106182.pdf,1,0082_1106182_p0001.png,2448,1584,649ddad0b0f847287b4772af4767a97f47d060a085005bafdc6bb22142268ee0,2131771,4:4:4,9a5d17a33990762caa5449703d47dfd3491845617639e6e793bfa5bc36d1aa50
83,1106908.pdf,1,0083_1106908_p0001.png,1224,1584,278d678269d5881e9a917526b3c18770368223b3c45618af924bb3ff045cef83,1002724,4:4:4,248f5f11e809651aed1fa045e5e308734fb3435bfbda5cb07f5d2004c0bcc217
84,1107310.pdf,1,0084_1107310_p0001.png,1193,1685,073e29e1f607720e84d1d2b917cdc731ef14d19a08e435f8a62fb975c8d673b5,120805,4:4:4,39b8efa9655a45767e2aadbe4a821cad6a77ca29a169a8414928a9f1ccd5993c
85,1108655.pdf,1,0085_1108655_p0001.png,1920,1080,9a8485dc496a0cd490bff0bb71e55059c4dcfc858f3038e88877955538f6362f,895976,4:4:4,217ff9ee07c9821a93e48487dfee610bc186ce2a02b5290cb5294c686903660f
86,1109169.pdf,1,0086_1109169_p0001.png,1191,1684,ace879d583ea33b315e7125fc36a3adf6b2eee67d9b4490d7f202a6af6bd601b,183443,4:4:4,e8c801a546a73dc8b6adff55a7dbbc3c06d638b1708a035ff5835c6a18b7fb55
87,1110594.pdf,1,0087_1110594_p0001.png,1224,1584,102c5b1e1c9d1877d0ebdca0a5456287bb4e9797984454d45f98ba4ee50ae421,561462,4:4:4,e184767064fcd89ee7a6ec85d132144ccc3a2a57e67e032271edea413b1ad2b3
88,1111073.pdf,1,0088_1111073_p0001.png,2160,1584,7de8e3e9e9398bd18b58fa3090b5ff7d34fcfcc50ad580fccc065564da1615f5,2658589,4:4:4,68d62ebc35ed7965d175c11098c6472c9e3eb62c6d2b2d4b89c8aef48f3b86be
89,1111565.pdf,1,0089_1111565_p0001.png,1224,1584,b5ff63903e6893268da5e33fe458a3902fd1bc2909bcddf4214b7946349b5dbf,592888,4:4:4,dba16c08a3b1addad3ec9e7d03630350b9c1ee2941ce59c02bb54bd38feca0ad
90,1111667.pdf,1,0090_1111667_p0001.png,1224,1584,c9e84b2e6062d17ba3ce964ed1e68a75f8889df0f8a0e7a696acd97f487f1eb0,536618,4:4:4,912d6970460c54f2af03171694488b101c64713cc8611391fa42e4334906bccb
91,1113772.pdf,1,0091_1113772_p0001.png,1224,1584,7d8dcdd678a5950e6901636a7f09511a77eee83a98f928a0bc61a5c2c83629ff,236963,4:4:4,502dc72ac99ac90976960463e8167db28944a00ce6e68bab5384b9addb0deec3
92,1114199.pdf,1,0092_1114199_p0001.png,1191,1684,6239d6b32661e12533f78b860164a74b9d107704d37537b937a5ba2ea12546f7,762476,4:4:4,afba30b2b750c5af95af4f49a9d2b3b9453fe7f34578c949271e9dc14b69b4e5
93,1117366.pdf,1,0093_1117366_p0001.png,1224,1584,3e44ccbf1630c65c09a6fc9a9aa6e5d1f7b8d1081a71da38c08b7d5a4f96405d,237577,4:4:4,2af337c1da968d40085e0e45096ef98d4c01159f42c76f169f6b23e93559552a
94,1119743.pdf,1,0094_1119743_p0001.png,1224,1584,12e1e3a9b229d1ac25fe670049e683060d9c94d40105f626957a5bbb83d5a1b3,380779,4:4:4,dadda3b53bdeb78766aaf1ece1b5c8e6c319694c9e585b7ba4d0b5c5943d1c62
95,1121142.pdf,1,0095_1121142_p0001.png,1579,1214,3664e651b8098e10f7ee294833821fbeab503f73c2aadfd5efe98684013be5e8,550527,4:4:4,629e8e261c03d969d299579e35bdb64f308c77572e4ad087b2dbbd75fd02c45a
96,1121870.pdf,1,0096_1121870_p0001.png,1224,1584,4650439343a464906e0ce7834b2154ce1c157209536a2dff0387f10dbd7fd628,943922,4:4:4,58850b207e77d32e66e1b10c16a529f3c7c29cdfbf52ccd2bae6293de9e16751
97,1124304.pdf,1,0097_1124304_p0001.png,1224,1584,b09191a57b1d95eb4bfce5d81b5273d04094761f4fd821930ad8b9f68e6e51da,610261,4:4:4,361f1eeceb85a9f6a77c5213039c782b8aa6d611cae0b6e2e1eb99cc40c5ad7d
98,1124501.pdf,1,0098_1124501_p0001.png,1224,1584,67f4f9c407dff96ccc04a51348da06137934a4229e2a5be19d17cabef93cad0b,295208,4:4:4,3496fe9fda3384fc8684da00cc4f1115f04379205180c45cde872fec0f222c04
99,1126272.pdf,1,0099_1126272_p0001.png,1225,1582,4683d6ca07b0b7fd3e13458bc46e52d1d119c9f7ab4febdb034358717bcdb552,78786,4:4:4,2af319a3bfdbe4a1d57f9cc5f94d71027c7f62fa30c335d453022bbd6de5c81d
100,1127866.pdf,1,0100_1127866_p0001.png,1222,1579,b1dff8bf16e743db653d1c1c8a68a7165d09b4c76ea6c7d5b859f1889db9dc05,331365,4:4:4,0fb395c275370e5e094f45a1daa02e68b89f2f19016e10b7a92045296d62721c
101,1131257.pdf,1,0101_1131257_p0001.png,1156,1700,4f61be51c112fd721f9ffdea06ba3ffc11ed9cf23ea5aa5e36a03960b10db5a6,68400,4:4:4,2612bc41ecfe42126a3dbf3f210cb0494a9a6583886b81a40198767917e93dcc
102,1132524.pdf,1,0102_1132524_p0001.png,1224,1584,c8ccdc2eee07a355847a59faf616109cd6ce1f414b6c97d3e16726751c0b128f,543430,4:4:4,254b841140f9a3339f25ce75ece8e654ef0b5164e9bf75fdfa67118c4144bab9
103,1137522.pdf,1,0103_1137522_p0001.png,2880,4320,44c6bcb026ec2b4d59f43bf5487404737f3afd77aaf2dd62a5176a8557fdaa9b,5124238,4:4:4,52c39addec16dc1051b501c96522eee09ce7a87bf5aa959666e7872f728beb00
104,1138736.pdf,1,0104_1138736_p0001.png,1191,1684,5ac2c867231a3d61e7e8c0ae7ddcd92d24faaba42181a7b76d5cf9a8e11af260,1021959,4:4:4,cdcb6dbe544456bcc9e510960438c32bae381d88878526ce210cfe2d6d2dfafe
105,1139035.pdf,1,0105_1139035_p0001.png,1190,1684,ea419f08690a4592d3cc964251f3545ca936e64ec62f6503f712ae7a92db8d2c,483555,4:4:4,8a55e92d33ce65b99d1b82b3a572b6151631e978aff09e03097eae18e7b9a9b7
106,1147285.pdf,1,0106_1147285_p0001.png,1224,1584,dd87d5b59bf2a6f5c24793f2da229ab695314f86abe556502d99dfc3fa029fcb,601729,4:4:4,84ab54c5bbdf57c255df034b145960918a5a3c7ab4353f1e7dec5e5a5db89918
107,1149133.pdf,1,0107_1149133_p0001.png,1224,1584,db64b38748a2ce51647c0d1e95883a74ffb2b2378e8a5a9939534cfe4347131a,122530,4:4:4,847c910d6a67f73b10e3d3e42b8a536765a0b9f95e916132cfaeeb909f4b418d
108,1150801.pdf,1,0108_1150801_p0001.png,1191,1684,f84b6fe95127fe39c48b97a9f52384623beb3575599f7999731d48807ffab06e,614997,4:4:4,a6d7437aac4c9ce2762df9b45cf0b5eb34797de33aa8adc7fd5973d8a342d671
109,1154657.pdf,1,0109_1154657_p0001.png,1224,1584,b138b5ae4e1fa6167d202a2f314352fa7baad09e2704ee12b46b0ad4423ed585,302045,4:4:4,304e16374da776b5d1247c81132e8d15230197bf41930f96987d43e9d0f43061
